TR_S04_PTO_STO(100)_750c_200mT_1000sh_3hz_2theta omega_04072026	
2θ, °	Intensity, cps
15	0
15.0100002288818	0
15.0200004577637	13.5588474273682
15.0299997329712	0
15.039999961853	13.9604759216309
15.0500001907349	0
15.0600004196167	0
15.0699996948242	0
15.0799999237061	0
15.0900001525879	13.589207649231
15.1000003814697	13.9512844085693
15.1099996566772	18.3856067657471
15.1199998855591	0
15.1300001144409	0
15.1400003433228	0
15.1499996185303	0
15.1599998474121	0
15.1700000762939	0
15.1800003051758	0
15.1899995803833	13.4627342224121
15.1999998092651	0
15.210000038147	13.5220413208008
15.2200002670288	0
15.2299995422363	0
15.2399997711182	0
15.25	0
15.2600002288818	27.2345199584961
15.2700004577637	0
15.2799997329712	0
15.289999961853	0
15.3000001907349	0
15.3100004196167	0
15.3199996948242	0
15.3299999237061	27.8016319274902
15.3400001525879	0
15.3500003814697	0
15.3599996566772	0
15.3699998855591	4.55120944976807
15.3800001144409	0
15.3900003433228	0
15.3999996185303	0
15.4099998474121	0
15.4200000762939	13.8847684860229
15.4300003051758	0
15.4399995803833	0
15.4499998092651	0
15.460000038147	14.2225389480591
15.4700002670288	0
15.4799995422363	0
15.4899997711182	0
15.5	0
15.5100002288818	14.1189832687378
15.5200004577637	14.2680292129517
15.5299997329712	0
15.539999961853	0
15.5500001907349	0
15.5600004196167	0
15.5699996948242	0
15.5799999237061	0
15.5900001525879	0
15.6000003814697	13.7973260879517
15.6099996566772	0
15.6199998855591	0
15.6300001144409	0
15.6400003433228	0
15.6499996185303	0
15.6599998474121	0
15.6700000762939	0
15.6800003051758	0
15.6899995803833	13.7603664398193
15.6999998092651	0
15.710000038147	0
15.7200002670288	0
15.7299995422363	14.549825668335
15.7399997711182	0
15.75	13.8464813232422
15.7600002288818	4.49793672561646
15.7700004577637	27.2971153259277
15.7799997329712	0
15.789999961853	0
15.8000001907349	0
15.8100004196167	0
15.8199996948242	0
15.8299999237061	0
15.8400001525879	0
15.8500003814697	0
15.8599996566772	13.6193780899048
15.8699998855591	0
15.8800001144409	0
15.8900003433228	0
15.8999996185303	0
15.9099998474121	0
15.9200000762939	0
15.9300003051758	0
15.9399995803833	0
15.9499998092651	13.7943906784058
15.960000038147	0
15.9700002670288	0
15.9799995422363	0
15.9899997711182	0
16	0
16.0100002288818	13.5426025390625
16.0200004577637	0
16.0300006866455	0
16.0400009155273	0
