TR_S04_PTO_STO(100)_750c_200mT_1000sh_3hz_XRR_04072026	
2θ, °	Intensity, cps
0	2762114.5
0.00400000018998981	2885256.75
0.00800000037997961	2945476
0.0120000001043081	2907109.5
0.0160000007599592	2824434.5
0.0199999995529652	2714448.25
0.0240000002086163	2595294.25
0.0280000008642673	2351058.5
0.0320000015199184	1962155
0.0359999984502792	1418682.875
0.0399999991059303	917040.75
0.0439999997615814	542962.75
0.0480000004172325	320401.25
0.0520000010728836	200025.8125
0.0560000017285347	133675.890625
0.0599999986588955	98165.25
0.0640000030398369	82287.71875
0.068000003695488	74735.2421875
0.0719999969005585	73898.0234375
0.0759999975562096	75169.6953125
0.0799999982118607	77309.7890625
0.0839999988675117	79397.421875
0.0879999995231628	83072.9453125
0.0920000001788139	86227
0.096000000834465	88632.953125
0.100000001490116	92788.3203125
0.104000002145767	96187
0.108000002801418	99723.1328125
0.112000003457069	102463.046875
0.11599999666214	105797.6171875
0.119999997317791	108816.65625
0.123999997973442	111818.109375
0.128000006079674	115995.484375
0.131999999284744	117847.96875
0.136000007390976	121762.6015625
0.140000000596046	124368.3046875
0.143999993801117	128270.4453125
0.148000001907349	132054.015625
0.151999995112419	134965.03125
0.156000003218651	139335.78125
0.159999996423721	141588.328125
0.164000004529953	143984.203125
0.167999997735023	148467.46875
0.172000005841255	150352.65625
0.175999999046326	153136.140625
0.180000007152557	156495.1875
0.184000000357628	160216.6875
0.187999993562698	162165.53125
0.19200000166893	165709.59375
0.195999994874001	168672.6875
0.200000002980232	171042.046875
0.203999996185303	174130.703125
0.208000004291534	176984.765625
0.211999997496605	179930.3125
0.216000005602837	181782.6875
0.219999998807907	183978.234375
0.224000006914139	188020.375
0.228000000119209	189422.703125
0.23199999332428	191247.765625
0.236000001430511	195327.828125
0.239999994635582	197774.34375
0.244000002741814	199418.328125
0.247999995946884	201253.9375
0.252000004053116	204921.84375
0.256000012159348	206124.78125
0.259999990463257	210226.4375
0.263999998569489	210377.625
0.26800000667572	213493.203125
0.272000014781952	215520.609375
0.275999993085861	217028.71875
0.280000001192093	219773
0.284000009298325	221664.578125
0.287999987602234	222153.4375
0.291999995708466	224884.921875
0.296000003814697	226820.546875
0.300000011920929	228888.515625
0.303999990224838	230498.078125
0.30799999833107	233430.078125
0.312000006437302	233867.078125
0.316000014543533	234966.515625
0.319999992847443	237443.9375
0.324000000953674	238462.375
0.328000009059906	240103.28125
0.331999987363815	242022.625
0.335999995470047	243974.0625
0.340000003576279	244060.515625
0.34400001168251	246222.453125
0.34799998998642	247541.453125
0.351999998092651	248448.046875
0.356000006198883	249511.171875
0.360000014305115	251364.25
0.363999992609024	253186.28125
0.368000000715256	253758.625
0.372000008821487	255811.75
0.375999987125397	256547.265625
0.379999995231628	257587.234375
0.38400000333786	259423.640625
0.388000011444092	259812.765625
0.391999989748001	261999.96875
0.395999997854233	261166.828125
0.400000005960464	263946.59375
0.404000014066696	264675.75
0.407999992370605	266647.75
0.412000000476837	266977.65625
0.416000008583069	267004.625
0.419999986886978	270006.1875
0.42399999499321	271331
0.428000003099442	272164.75
0.432000011205673	274250.46875
0.435999989509583	274374.46875
0.439999997615814	276983.3125
0.444000005722046	278728.25
0.448000013828278	279773.6875
0.451999992132187	281433.8125
0.456000000238419	283142.5
0.46000000834465	283772.125
0.46399998664856	286766.5
0.467999994754791	288974.125
0.472000002861023	291140.03125
0.476000010967255	292185.5
0.479999989271164	292760.6875
0.483999997377396	294348.3125
0.488000005483627	297956.9375
0.492000013589859	301803.125
0.495999991893768	301099.34375
0.5	302671.46875
0.504000008106232	305842.96875
0.508000016212463	307143.375
0.512000024318695	311427.125
0.515999972820282	311459.8125
0.519999980926514	314592.28125
0.523999989032745	316449.15625
0.527999997138977	317596.8125
0.532000005245209	319395.875
0.53600001335144	322635.25
0.540000021457672	324397.4375
0.544000029563904	327495.375
0.547999978065491	326176.46875
0.551999986171722	329888.875
0.555999994277954	331839.1875
0.560000002384186	331705.1875
0.564000010490417	333009.75
0.568000018596649	334386.875
0.572000026702881	334309.875
0.575999975204468	333888.03125
0.579999983310699	332451.03125
0.583999991416931	332061.09375
0.587999999523163	329894.0625
0.592000007629395	325225.6875
0.596000015735626	323699.8125
0.600000023841858	317843.9375
0.603999972343445	309611.65625
0.607999980449677	302025.53125
0.611999988555908	292635.96875
0.61599999666214	279672.25
0.620000004768372	264744.75
0.624000012874603	251217.5
0.628000020980835	234489.25
0.632000029087067	217364.34375
0.635999977588654	202173.953125
