TR_S11_PTO_STO(100)_580c_150mT_20000sh_5hz_2theta omega_04162026	
2θ, °	Intensity, cps
15	4.73270320892334
15.0047998428345	0
15.0095996856689	0
15.0143995285034	0
15.0192003250122	14.3320093154907
15.0240001678467	0
15.0288000106812	9.11765670776367
15.0335998535156	4.74003982543945
15.0383996963501	14.6650047302246
15.0431995391846	0
15.0480003356934	0
15.0528001785278	0
15.0576000213623	14.3136415481567
15.0623998641968	19.1581325531006
15.0671997070313	0
15.0719995498657	0
15.0768003463745	29.1084651947021
15.081600189209	4.67257213592529
15.0864000320435	0
15.0911998748779	0
15.0959997177124	28.1907157897949
15.1007995605469	0
15.1056003570557	14.8502407073975
15.1104001998901	14.965500831604
15.1152000427246	0
15.1199998855591	14.6454277038574
15.1247997283936	15.0316143035889
15.129599571228	4.79563856124878
15.1344003677368	29.496639251709
15.1392002105713	0
15.1440000534058	0
15.1487998962402	0
15.1535997390747	0
15.1583995819092	0
15.163200378418	0
15.1680002212524	13.9406242370605
15.1728000640869	14.0824537277222
15.1775999069214	14.5249185562134
15.1823997497559	0
15.1871995925903	4.64827060699463
15.1920003890991	0
15.1968002319336	0
15.2016000747681	14.1323270797729
15.2063999176025	0
15.211199760437	0
15.2159996032715	0
15.2208003997803	0
15.2256002426147	29.7342414855957
15.2304000854492	14.6683006286621
15.2351999282837	28.6309089660645
15.2399997711182	0
15.2447996139526	0
15.2496004104614	4.96081256866455
15.2544002532959	0
15.2592000961304	0
15.2639999389648	29.2814350128174
15.2687997817993	0
15.2735996246338	0
15.2784004211426	0
15.2832002639771	13.7986755371094
15.2880001068115	14.5484857559204
15.292799949646	0
15.2975997924805	29.4921340942383
15.3023996353149	14.5507125854492
15.3072004318237	14.6147413253784
15.3120002746582	0
15.3168001174927	0
15.3215999603271	0
15.3263998031616	14.8912086486816
15.3311996459961	29.071159362793
15.3360004425049	0
15.3408002853394	0
15.3456001281738	4.80387830734253
15.3503999710083	0
15.3551998138428	0
15.3599996566772	0
15.364800453186	0
15.3696002960205	0
15.374400138855	0
15.3791999816895	0
15.3839998245239	19.63503074646
15.3887996673584	0
15.3936004638672	0
15.3984003067017	0
15.4032001495361	28.7838516235352
15.4079999923706	0
15.4127998352051	0
15.4175996780396	4.70519828796387
15.4224004745483	0
15.4272003173828	29.0978546142578
15.4320001602173	0
15.4368000030518	0
15.4415998458862	14.956618309021
15.4463996887207	14.119234085083
15.4511995315552	0
15.456000328064	0
15.4608001708984	0
15.4656000137329	15.3648452758789
15.4703998565674	14.8370990753174
15.4751996994019	14.628716468811
15.4799995422363	0
15.4848003387451	0
15.4896001815796	0
15.4944000244141	0
15.4991998672485	4.75339269638062
15.503999710083	0
15.5087995529175	0
15.5136003494263	14.0094537734985
15.5184001922607	14.4498443603516
15.5232000350952	0
15.5279998779297	0
15.5327997207642	0
15.5375995635986	0
15.5424003601074	0
15.5472002029419	15.0076732635498
15.5520000457764	0
15.5567998886108	0
15.5615997314453	0
15.5663995742798	0
15.5712003707886	13.8998079299927
15.576000213623	14.7264614105225
15.5808000564575	29.2119750976563
15.585599899292	4.72007036209106
15.5903997421265	14.5346403121948
15.5951995849609	0
15.6000003814697	0
15.6048002243042	14.517297744751
15.6096000671387	0
15.6143999099731	14.3535223007202
15.6191997528076	29.3498840332031
15.6239995956421	28.8676052093506
15.6288003921509	0
15.6336002349854	14.3761301040649
15.6384000778198	57.8182334899902
15.6431999206543	0
15.6479997634888	14.7670221328735
15.6527996063232	0
15.657600402832	0
15.6624002456665	0
15.667200088501	4.64065504074097
15.6719999313354	0
15.6767997741699	14.373574256897
15.6815996170044	14.7538280487061
15.6864004135132	0
15.6912002563477	14.7847585678101
15.6960000991821	0
15.7007999420166	14.248685836792
15.7055997848511	0
15.7103996276855	19.3774223327637
15.7152004241943	14.6074628829956
15.7200002670288	14.6132326126099
15.7248001098633	34.5248031616211
15.7295999526978	4.6139063835144
15.7343997955322	0
15.7391996383667	14.5990266799927
15.7440004348755	0
15.74880027771	0
15.7536001205444	0
15.7583999633789	14.4047622680664
15.7631998062134	0
15.7679996490479	0
15.7728004455566	14.6658887863159
15.7776002883911	47.2449264526367
15.7824001312256	0
15.7871999740601	0
15.7919998168945	58.7737503051758
15.796799659729	0
15.8016004562378	28.5579223632813
15.8064002990723	4.77508306503296
15.8112001419067	19.1786613464355
15.8159999847412	0
15.8207998275757	0
15.8255996704102	14.5146198272705
15.8304004669189	14.5744333267212
15.8352003097534	14.5796422958374
15.8400001525879	14.9587230682373
15.8447999954224	14.3761405944824
15.8495998382568	0
15.8543996810913	0
15.8591995239258	0
15.8640003204346	0
15.868800163269	14.4111680984497
15.8736000061035	0
15.878399848938	0
15.8831996917725	0
15.8879995346069	0
15.8928003311157	0
15.8976001739502	14.4423017501831
15.9024000167847	0
15.9071998596191	0
15.9119997024536	29.1432476043701
15.9167995452881	0
15.9216003417969	4.67015314102173
15.9264001846313	14.3780193328857
15.9312000274658	0
15.9359998703003	0
15.9407997131348	14.7578449249268
15.9455995559692	0
15.950400352478	0
15.9552001953125	14.7996511459351
15.960000038147	0
15.9647998809814	14.379861831665
15.9695997238159	0
15.9743995666504	0
15.9792003631592	0
15.9840002059937	29.2990646362305
15.9888000488281	0
15.9935998916626	0
15.9983997344971	15.5513935089111
16.0032005310059	0
