TR_S08_PTO_STO(100)_550c_200mT_5000sh_3hz_2theta omega_04132026	
2θ, °	Intensity, cps
17	4.80215978622437
17.0048007965088	14.7405776977539
17.0095996856689	0
17.0144004821777	15.3452177047729
17.0191993713379	14.646294593811
17.0240001678467	0
17.0287990570068	4.65332365036011
17.0335998535156	14.0452041625977
17.0384006500244	14.7996511459351
17.0431995391846	14.6541061401367
17.0480003356934	28.5559234619141
17.0527992248535	0
17.0576000213623	4.68405103683472
17.0624008178711	0
17.0671997070313	0
17.07200050354	0
17.0767993927002	14.1962985992432
17.081600189209	29.8911037445068
17.0863990783691	0
17.0911998748779	0
17.0960006713867	14.5253057479858
17.1007995605469	0
17.1056003570557	14.4401178359985
17.1103992462158	4.89567232131958
17.1152000427246	4.87790775299072
17.1200008392334	0
17.1247997283936	14.1298189163208
17.1296005249023	28.4971866607666
17.1343994140625	0
17.1392002105713	0
17.1439990997314	0
17.1487998962402	0
17.153600692749	15.0879716873169
17.1583995819092	0
17.163200378418	0
17.1679992675781	0
17.1728000640869	0
17.1776008605957	14.3619079589844
17.1823997497559	14.3957986831665
17.1872005462646	43.9252471923828
17.1919994354248	0
17.1968002319336	14.3119125366211
17.2015991210938	0
17.2063999176025	0
17.2112007141113	0
17.2159996032715	14.3782615661621
17.2208003997803	19.5492172241211
17.2255992889404	4.71793365478516
17.2304000854492	15.2762184143066
17.235200881958	14.4049129486084
17.2399997711182	0
17.244800567627	14.6196699142456
17.2495994567871	0
17.2544002532959	0
17.2591991424561	28.6291313171387
17.2639999389648	0
17.2688007354736	14.750883102417
17.2735996246338	0
17.2784004211426	0
17.2831993103027	0
17.2880001068115	4.81045007705688
17.2928009033203	0
17.2975997924805	14.2881774902344
17.3024005889893	28.4445476531982
17.3071994781494	0
17.3120002746582	0
17.3167991638184	14.1897497177124
17.3215999603271	14.7856044769287
17.3264007568359	14.3624410629272
17.3311996459961	0
17.3360004425049	0
17.340799331665	0
17.3456001281738	0
17.3504009246826	29.1855907440186
17.3551998138428	0
17.3600006103516	14.5594825744629
17.3647994995117	0
17.3696002960205	0
17.3743991851807	0
17.3791999816895	0
17.3840007781982	0
17.3887996673584	19.6960430145264
17.3936004638672	0
17.3983993530273	29.2001705169678
17.4032001495361	0
17.4080009460449	0
17.4127998352051	0
17.4176006317139	0
17.422399520874	0
17.4272003173828	0
17.431999206543	14.5066080093384
17.4368000030518	28.5863571166992
17.4416007995605	28.1333484649658
17.4463996887207	0
17.4512004852295	0
17.4559993743896	14.2201976776123
17.4608001708984	0
17.4655990600586	0
17.4703998565674	13.9154624938965
17.4752006530762	28.4383888244629
17.4799995422363	19.4008140563965
17.4848003387451	0
17.4895992279053	28.8022785186768
17.4944000244141	4.90274906158447
17.4992008209229	0
17.503999710083	0
17.5088005065918	4.81398105621338
17.513599395752	0
17.5184001922607	14.6454277038574
17.5231990814209	0
17.5279998779297	14.1573286056519
17.5328006744385	0
17.5375995635986	0
17.5424003601074	15.0563564300537
17.5471992492676	0
17.5520000457764	14.7624559402466
17.5568008422852	14.9670543670654
17.5615997314453	4.9145655632019
17.5664005279541	0
17.5711994171143	14.9149265289307
17.576000213623	0
17.5807991027832	0
17.585599899292	0
17.5904006958008	14.8117179870605
17.5951995849609	0
17.6000003814697	0
17.6047992706299	29.6729297637939
17.6096000671387	0
17.6144008636475	0
17.6191997528076	0
17.6240005493164	0
17.6287994384766	0
17.6336002349854	0
17.6383991241455	14.8970813751221
17.6431999206543	0
17.6480007171631	14.6966133117676
17.6527996063232	0
17.657600402832	0
17.6623992919922	14.2231330871582
17.667200088501	14.6149806976318
17.6720008850098	0
17.6767997741699	14.4018516540527
17.6816005706787	0
17.6863994598389	0
17.6912002563477	0
17.6959991455078	0
17.7007999420166	14.2638101577759
17.7056007385254	29.1588535308838
17.7103996276855	0
17.7152004241943	4.80589580535889
17.7199993133545	0
17.7248001098633	15.1258974075317
17.7296009063721	14.9356689453125
17.7343997955322	14.2360382080078
17.739200592041	0
17.7439994812012	14.2667045593262
17.74880027771	0
17.7535991668701	13.9632873535156
17.7583999633789	14.1366920471191
17.7632007598877	0
17.7679996490479	0
17.7728004455566	0
17.7775993347168	14.6618251800537
17.7824001312256	0
17.7872009277344	29.6127033233643
17.7919998168945	0
17.7968006134033	28.9760894775391
17.8015995025635	0
17.8064002990723	0
17.8111991882324	15.1632242202759
17.8159999847412	0
17.82080078125	19.5459842681885
17.8255996704102	14.935079574585
17.8304004669189	15.0413846969604
17.8351993560791	0
17.8400001525879	14.6076993942261
17.8448009490967	0
17.8495998382568	19.1706085205078
17.8544006347656	14.1405925750732
17.8591995239258	0
17.8640003204346	0
17.8687992095947	0
17.8736000061035	14.4367876052856
17.8784008026123	0
17.8831996917725	14.7071514129639
17.8880004882813	0
17.8927993774414	0
17.8976001739502	14.7538280487061
17.9023990631104	29.6459999084473
17.9071998596191	0
17.9120006561279	13.8589172363281
17.9167995452881	0
17.9216003417969	14.4747829437256
17.926399230957	14.14719581604
17.9312000274658	0
17.9360008239746	14.9247131347656
17.9407997131348	0
17.9456005096436	0
17.9503993988037	14.7156114578247
17.9552001953125	0
17.9599990844727	15.4491844177246
17.9647998809814	14.3839731216431
17.9696006774902	14.3535223007202
17.9743995666504	0
17.9792003631592	19.0222663879395
17.9839992523193	0
17.9888000488281	0
17.9936008453369	0
17.9983997344971	29.9125881195068
18.0032005310059	0
18.007999420166	14.5587377548218
18.0128002166748	29.7151298522949
18.017599105835	0
18.0223999023438	0
18.0272006988525	14.5249185562134
18.0319995880127	29.097864151001
18.0368003845215	0
18.0415992736816	29.5046558380127
18.0464000701904	0
18.0512008666992	0
18.0559997558594	15.1585836410522
18.0608005523682	0
18.0655994415283	28.5418491363525
18.0704002380371	0
18.0751991271973	0
18.0799999237061	28.6480884552002
18.0848007202148	0
18.089599609375	14.3619079589844
18.0944004058838	0
18.0991992950439	15.3142795562744
18.1040000915527	0
18.1088008880615	0
18.1135997772217	0
18.1184005737305	0
18.1231994628906	28.5430278778076
18.1280002593994	0
18.1327991485596	0
18.1375999450684	0
18.1424007415771	28.1683769226074
18.1471996307373	43.0003280639648
18.1520004272461	0
18.1567993164063	14.19886302948
18.161600112915	29.3119049072266
18.1664009094238	0
18.171199798584	0
18.1760005950928	4.87757015228271
18.1807994842529	0
18.1856002807617	29.6466751098633
18.1903991699219	0
18.1951999664307	15.3513612747192
18.2000007629395	0
18.2047996520996	14.4088649749756
18.2096004486084	4.70795583724976
18.2143993377686	0
18.2192001342773	15.0563564300537
18.2240009307861	0
18.2287998199463	0
18.2336006164551	14.5830478668213
18.2383995056152	14.7004489898682
18.243200302124	0
18.2479991912842	14.622200012207
18.252799987793	4.67071914672852
18.2576007843018	0
18.2623996734619	34.3886451721191
18.2672004699707	29.3588905334473
18.2719993591309	14.7223253250122
18.2768001556396	14.7623052597046
18.2816009521484	0
18.2863998413086	0
18.2912006378174	14.8176784515381
18.2959995269775	0
18.3008003234863	43.0389366149902
18.3055992126465	0
18.3104000091553	4.68405103683472
18.3152008056641	0
18.3199996948242	14.1776256561279
18.324800491333	28.0693607330322
18.3295993804932	0
18.334400177002	0
18.3391990661621	14.4680290222168
18.3439998626709	20.3485069274902
18.3488006591797	0
18.3535995483398	14.4883193969727
18.3584003448486	14.7388639450073
18.3631992340088	14.4001922607422
18.3680000305176	0
18.3728008270264	14.0696086883545
18.3775997161865	44.8452033996582
18.3824005126953	33.9227180480957
18.3871994018555	0
18.3920001983643	0
18.3967990875244	0
18.4015998840332	14.8438777923584
18.406400680542	14.6125774383545
18.4111995697021	14.4626245498657
18.4160003662109	14.5775861740112
18.4207992553711	14.2813768386841
18.4256000518799	0
18.4304008483887	14.7297334671021
18.4351997375488	0
18.4400005340576	0
18.4447994232178	14.0696296691895
18.4496002197266	0
18.4543991088867	0
18.4591999053955	0
18.4640007019043	14.4885377883911
18.4687995910645	14.111608505249
18.4736003875732	14.0914573669434
18.4783992767334	30.0094947814941
18.4832000732422	4.75268459320068
18.488000869751	0
18.4927997589111	0
18.4976005554199	0
18.5023994445801	29.5967063903809
18.5072002410889	14.9065771102905
18.511999130249	14.6404275894165
18.5167999267578	14.258526802063
18.5216007232666	13.9759559631348
18.5263996124268	30.0209560394287
18.5312004089355	0
18.5359992980957	4.75545167922974
18.5408000946045	14.9005250930786
18.5456008911133	0
18.5503997802734	0
18.5552005767822	14.4942436218262
18.5599994659424	14.2085552215576
18.5648002624512	0
18.5695991516113	14.2190837860107
18.5743999481201	4.60402154922485
18.5792007446289	43.9045219421387
18.5839996337891	0
18.5888004302979	0
18.593599319458	0
18.5984001159668	13.8938808441162
18.6032009124756	0
18.6079998016357	14.6436042785645
18.6128005981445	0
18.6175994873047	28.5361499786377
18.6224002838135	42.9288177490234
18.6271991729736	14.4793787002563
18.6319999694824	0
18.6368007659912	14.6856355667114
18.6415996551514	0
18.6464004516602	0
18.6511993408203	14.5684185028076
18.6560001373291	0
18.6608009338379	29.9098052978516
18.665599822998	0
18.6704006195068	0
18.675199508667	0
18.6800003051758	15.0076732635498
18.6847991943359	0
18.6895999908447	43.4356346130371
18.6944007873535	0
18.6991996765137	14.8221120834351
18.7040004730225	19.0298652648926
18.7087993621826	14.19886302948
18.7136001586914	0
18.7183990478516	14.4147338867188
18.7231998443604	28.8431148529053
18.7280006408691	0
18.7327995300293	0
18.7376003265381	0
18.7423992156982	19.0356884002686
18.747200012207	0
18.7520008087158	0
18.756799697876	0
18.7616004943848	14.8111763000488
18.7663993835449	0
18.7712001800537	29.6386413574219
18.7759990692139	19.665563583374
18.7807998657227	0
18.7856006622314	14.6541061401367
18.7903995513916	0
18.7952003479004	0
18.7999992370605	15.1471557617188
18.8048000335693	0
18.8096008300781	0
18.8143997192383	0
18.8192005157471	0
18.8239994049072	0
18.828800201416	0
18.8335990905762	0
18.838399887085	29.8873386383057
18.8432006835938	29.0909271240234
18.8479995727539	14.5639762878418
18.8528003692627	0
18.8575992584229	0
18.8624000549316	4.63460779190063
18.8672008514404	0
18.8719997406006	0
18.8768005371094	0
18.8815994262695	0
18.8864002227783	0
18.8911991119385	0
18.8959999084473	13.9802379608154
18.9008007049561	0
18.9055995941162	13.9660997390747
18.910400390625	0
18.9151992797852	43.2778358459473
18.9200000762939	0
18.9248008728027	14.9910182952881
18.9295997619629	4.85645914077759
18.9344005584717	28.6186904907227
18.9391994476318	0
18.9440002441406	43.6088371276855
18.9487991333008	28.2749061584473
18.9535999298096	0
18.9584007263184	28.5794105529785
18.9631996154785	0
18.9680004119873	14.0914573669434
18.9727993011475	19.0300045013428
18.9776000976563	14.4601860046387
18.982400894165	14.390814781189
18.9871997833252	14.4864053726196
18.992000579834	4.77959489822388
18.9967994689941	0
19.0016002655029	14.3334531784058
19.0063991546631	0
19.0111999511719	0
19.0160007476807	15.244252204895
19.0207996368408	14.3845739364624
19.0256004333496	0
19.0303993225098	0
19.0352001190186	0
19.0400009155273	0
19.0447998046875	0
19.0496006011963	0
19.0543994903564	0
19.0592002868652	0
19.0639991760254	29.3305377960205
19.0687999725342	0
19.073600769043	28.9956436157227
19.0783996582031	0
19.0832004547119	14.0452432632446
19.0879993438721	0
19.0928001403809	28.5787315368652
19.0976009368896	14.9356689453125
19.1023998260498	19.6976985931396
19.1072006225586	0
19.1119995117188	0
19.1168003082275	14.154351234436
19.1215991973877	29.6953907012939
19.1263999938965	0
19.1312007904053	29.3192672729492
19.1359996795654	15.4400835037231
19.1408004760742	0
19.1455993652344	0
19.1504001617432	29.2121143341064
19.1551990509033	14.7450618743896
19.1599998474121	0
19.1648006439209	0
19.1695995330811	0
19.1744003295898	30.1097755432129
19.17919921875	14.7856044769287
19.1840000152588	14.6131629943848
19.1888008117676	0
19.1935997009277	0
19.1984004974365	0
19.2031993865967	0
19.2080001831055	0
19.2127990722656	13.996000289917
19.2175998687744	0
19.2224006652832	28.9510650634766
19.2271995544434	0
19.2320003509521	14.3499126434326
19.2367992401123	0
19.2416000366211	0
19.2464008331299	0
19.25119972229	29.011510848999
19.2560005187988	0
19.260799407959	15.1326875686646
19.2656002044678	0
19.2703990936279	0
19.2751998901367	0
19.2800006866455	4.61553573608398
19.2847995758057	14.3782615661621
19.2896003723145	28.983470916748
19.2943992614746	0
19.2992000579834	0
19.3040008544922	0
19.3087997436523	29.313081741333
19.3136005401611	0
19.3183994293213	0
19.3232002258301	15.646674156189
19.3279991149902	0
19.332799911499	34.262996673584
19.3376007080078	0
19.342399597168	13.8938808441162
19.3472003936768	0
19.3519992828369	14.3632621765137
19.3568000793457	0
19.3616008758545	0
19.3663997650146	14.1483860015869
19.3712005615234	0
19.3759994506836	0
19.3808002471924	14.2491540908813
19.3855991363525	14.2362775802612
19.3903999328613	15.1258974075317
19.3952007293701	0
19.3999996185303	0
19.4048004150391	14.5967054367065
19.4095993041992	14.6683988571167
19.414400100708	14.2231330871582
19.4192008972168	29.2256145477295
19.423999786377	0
19.4288005828857	14.1475486755371
19.4335994720459	0
19.4384002685547	14.7538280487061
19.4431991577148	0
19.4479999542236	0
19.4528007507324	34.828125
19.4575996398926	29.3614177703857
19.4624004364014	0
19.4671993255615	49.0520858764648
19.4720001220703	14.457221031189
19.4768009185791	0
19.4815998077393	0
19.486400604248	0
19.4911994934082	0
19.496000289917	14.8124542236328
19.5007991790771	0
19.5055999755859	0
19.5104007720947	0
19.5151996612549	14.4643621444702
19.5200004577637	14.1132192611694
19.5247993469238	28.8323955535889
19.5296001434326	43.5757522583008
19.5344009399414	15.1208047866821
19.5391998291016	0
19.5440006256104	0
19.5487995147705	29.1642074584961
19.5536003112793	14.6790723800659
19.5583992004395	28.8136310577393
19.5631999969482	28.5426216125488
19.568000793457	0
19.5727996826172	0
19.577600479126	29.3348407745361
19.5823993682861	0
19.5872001647949	0
19.5919990539551	0
19.5967998504639	29.8263626098633
19.6016006469727	43.6988258361816
19.6063995361328	28.878396987915
19.6112003326416	14.841329574585
19.6159992218018	29.185037612915
19.6208000183105	29.0954933166504
19.6256008148193	27.7950229644775
19.6303997039795	14.2428970336914
19.6352005004883	0
19.6399993896484	14.1723804473877
19.6448001861572	0
19.6495990753174	14.5552806854248
19.6543998718262	14.9344053268433
19.659200668335	19.1243190765381
19.6639995574951	29.2590560913086
19.6688003540039	0
19.6735992431641	14.988091468811
19.6784000396729	0
19.6832008361816	4.71758890151978
19.6879997253418	14.2170705795288
19.6928005218506	0
19.6975994110107	14.3986740112305
19.7024002075195	29.3788719177246
19.7071990966797	15.1698303222656
19.7119998931885	0
19.7168006896973	0
19.7215995788574	14.4025068283081
19.7264003753662	14.1890068054199
19.7311992645264	14.1054611206055
19.7360000610352	15.0749397277832
19.7408008575439	14.480489730835
19.7455997467041	14.7923860549927
19.7504005432129	4.76311874389648
19.755199432373	30.2884902954102
19.7600002288818	14.454571723938
19.764799118042	34.2542762756348
19.7695999145508	0
19.7744007110596	15.2509279251099
19.7791996002197	0
19.7840003967285	0
19.7887992858887	29.0368099212646
19.7936000823975	0
19.7984008789063	0
19.8031997680664	0
19.8080005645752	0
19.8127994537354	0
19.8176002502441	0
19.8223991394043	0
