TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
0	2711695
0.00400000018998981	2875351.75
0.00800000037997961	2930282.25
0.0120000001043081	2931811.75
0.0160000007599592	2843873.75
0.0199999995529652	2740898.75
0.0240000002086163	2676941.5
0.0280000008642673	2455027.25
0.0320000015199184	2062666.625
0.0359999984502792	1505162.25
0.0399999991059303	925954.8125
0.0439999997615814	546868.125
0.0480000004172325	301363.84375
0.0520000010728836	170364.984375
0.0560000017285347	102009.796875
0.0599999986588955	58948.61328125
0.0640000030398369	40723.1171875
0.068000003695488	31864.208984375
0.0719999969005585	26579.23828125
0.0759999975562096	26141.59765625
0.0799999982118607	26495.16015625
0.0839999988675117	26559.873046875
0.0879999995231628	27465.072265625
0.0920000001788139	28432.2421875
0.096000000834465	29913.41796875
0.100000001490116	31276.572265625
0.104000002145767	32447.955078125
0.108000002801418	34402.8125
0.112000003457069	35200.46484375
0.11599999666214	36570.4296875
0.119999997317791	38055.2265625
0.123999997973442	40090.4453125
0.128000006079674	41888.05078125
0.131999999284744	43841.14453125
0.136000007390976	45287.5
0.140000000596046	47214.34375
0.143999993801117	49084.08203125
0.148000001907349	50750.74609375
0.151999995112419	53042.20703125
0.156000003218651	54489.33203125
0.159999996423721	56577.5859375
0.164000004529953	57637.0234375
0.167999997735023	58882.13671875
0.172000005841255	59598.15234375
0.175999999046326	60430.75390625
0.180000007152557	60978.6875
0.184000000357628	61565.0703125
0.187999993562698	61713.4296875
0.19200000166893	63422.796875
0.195999994874001	63650.34375
0.200000002980232	63943.609375
0.203999996185303	64471.02734375
0.208000004291534	64359.75390625
0.211999997496605	65061.06640625
0.216000005602837	64841.40625
0.219999998807907	67553.1640625
0.224000006914139	67172.71875
0.228000000119209	68655.4296875
0.23199999332428	70395.75
0.236000001430511	71411.7890625
0.239999994635582	71386.09375
0.244000002741814	72621
0.247999995946884	73160.6171875
0.252000004053116	73655.6015625
0.256000012159348	74913.359375
0.259999990463257	76808.609375
0.263999998569489	77691.7734375
0.26800000667572	78961.7734375
0.272000014781952	78585.9609375
0.275999993085861	80333.1015625
0.280000001192093	80935.5234375
0.284000009298325	82742.8359375
0.287999987602234	84294.9453125
0.291999995708466	83417.4453125
0.296000003814697	85472.890625
0.300000011920929	86236.9921875
0.303999990224838	86670.609375
0.30799999833107	87427.46875
0.312000006437302	88588.015625
0.316000014543533	90289.21875
0.319999992847443	90133.046875
0.324000000953674	91792.5625
0.328000009059906	90876.8203125
0.331999987363815	94601.1328125
0.335999995470047	92654.296875
0.340000003576279	95562.9453125
0.34400001168251	94973.4140625
0.34799998998642	97260.8125
0.351999998092651	97836.3828125
0.356000006198883	98428.8671875
0.360000014305115	98948.7421875
0.363999992609024	99843.0390625
0.368000000715256	101207.6484375
0.372000008821487	100687.5625
0.375999987125397	102870.9609375
0.379999995231628	102005.640625
0.38400000333786	105144.1796875
0.388000011444092	105086.953125
0.391999989748001	105052.4921875
0.395999997854233	105328.6875
0.400000005960464	107217.25
0.404000014066696	107937.6328125
0.407999992370605	107955.6171875
0.412000000476837	109195.703125
0.416000008583069	109916.84375
0.419999986886978	110708.75
